Name	lat	lng	population
Bilisht	40.6275	20.99	926
Bicaj	41.99472	20.4125	464
Dardhas	40.84583	20.65722	967
Barmash	40.27778	20.61833	879
Ballaban	40.41667	20.13444	322
Arrën	41.91306	20.28833	1054
Arras	41.73583	20.32417	417
Bytyç	42.31	20.20278	557
Librazhd-Qendër	41.19694	20.33556	554
Funarë	41.19639	20.05972	729
Moglicë	40.71806	20.43806	1112
Bogovë	40.57111	20.15	197
Piskovë	40.27917	20.2725	202
Lukovë	39.99222	19.91389	229
Ksamil	39.76889	19.99972	16
Zharrëz	40.70917	19.64972	34
Zejmen	41.70778	19.68917	8
Zall-Herr	41.38944	19.8275	132
Zall-Bastar	41.42972	19.93028	376
Xhafzotaj	41.34444	19.5475	19
Vukatanë	42.02806	19.54778	11
Vranisht	40.20972	19.69083	327
Vorë	41.39083	19.655	82
Vlorë	40.4686	19.48318	17
Velipojë	41.87833	19.40556	1
Velabisht	40.70167	19.93222	60
Vaqarr	41.29917	19.74417	106
Ura Vajgurore	40.76889	19.87778	33
Ungrej	41.87528	19.79472	253
Ulëz	41.68278	19.89333	162
Topojë	40.76306	19.43278	3
Tirana	41.3275	19.81889	113
Thumanë	41.5475	19.67778	14
Tërbuf	41.04	19.61417	7
Synej	41.18	19.5425	13
Sukth	41.38056	19.53778	13
Strum	40.75111	19.7375	35
Sinjë	40.64806	19.86806	757
Sinaballaj	41.06889	19.69944	54
Shkodër	42.06828	19.51258	12
Shijak	41.34556	19.56722	34
Shezë	41.02417	19.81611	46
Shënkoll	41.69083	19.65333	6
Shëngjin	41.81361	19.59389	1
Shëngjergj	41.18333	19.53333	7
Shalës	40.99861	19.94778	122
Nicaj-Shalë	42.29944	19.805	633
Sevaster	40.39639	19.72972	339
Selitë	41.63528	19.755	637
Valbonë	42.45139	19.89167	932
Selenicë	40.53056	19.63583	73
Ruzhdie	40.67083	19.69833	268
Rubik	41.77444	19.78611	79
Rrogozhinë	41.07639	19.66528	22
Rrëshen	41.7675	19.87556	94
Rrashbull	41.32278	19.51028	31
Rrasa e Sipërme	40.96778	19.82111	153
Rrapë	42.04444	19.97056	792
Roskovec	40.7375	19.70222	18
Remas	40.88639	19.51139	1
Qerret	42.05306	19.83722	652
Qelëz	42.08972	19.895	234
Pukë	42.04444	19.89972	799
Progonat	40.21333	19.94472	926
Prezë	41.42722	19.67278	230
Poshnje	40.78028	19.84417	31
